recording_id,title,release_date,query_artist_name,retrieved_artist_name
00755192-cddd-4f74-b775-8089a1093072,Gorilla (Japanese Ver.) MV,2017-03-29,PENTAGON,PENTAGON
043ff276-8231-4f93-a781-8bc2aea0d275,Gorilla,2016-10-10,PENTAGON,PENTAGON
0627eb9e-3892-48fb-adaa-cd562f2e1cf9,THE BLACK HALL,2020-02-12,PENTAGON,PENTAGON
10a620c7-18d0-4cf3-9951-91d9a6eaee18,Baby I Love you,2021-03-15,PENTAGON,PENTAGON
152d959f-3b3d-4628-a6ea-2b61dcf37b64,Round 1 (Bonus Track),2019-03-27,PENTAGON,PENTAGON
1e0923ca-644d-4bea-a73e-d77acfc9148c,Smile,2016-10-01,PENTAGON,PENTAGON
211dd3e8-0abe-4638-8481-6c1ac7bfd66b,It’s Over,2017-08-09,PENTAGON,PENTAGON
230a8d89-b2d7-44ca-a35b-6121d5b3359f,Follow (PENTAGON Version),2020-06-12,PENTAGON,PENTAGON
2329ca27-49d6-4619-8531-d27cf7051bde,Thumbs Up!,2018-09-10,PENTAGON,PENTAGON
2338aa0b-5c69-4d9d-ac6f-639e3004cd77,Beautiful Goodbye,2020-10-12,PENTAGON,PENTAGON
2925145f-cdb0-4e04-bc39-f9b58ddbfb9f,SEASONS,2019-08-21,PENTAGON,PENTAGON
2cd85d9a-2b53-4916-91c4-6113d5e06054,Gorilla (Japanese Ver.),2017-03-22,PENTAGON,PENTAGON
2f55d507-f1c3-46c9-ac6c-64846e6499f0,Round 2 (Bonus Track),2019-07-17,PENTAGON,PENTAGON
30149399-66be-4d30-85d5-af1d1248a20f,Pretty Boys,2017-11-22,PENTAGON,PENTAGON
30873889-70ed-43ab-9760-b1262d7f9752,LOVE,2018-01-17,PENTAGON,PENTAGON
31083ad0-3d91-4fb3-a29d-8901f4535478,Paradise,2020-10-12,PENTAGON,PENTAGON
3377ba00-5800-4908-86cd-9bc0f25f3be7,Humph!,2019-07-17,PENTAGON,PENTAGON
361bd1fa-84d0-4fba-9362-ed458e161b8b,Upgrade,2018-06-17,PENTAGON,PENTAGON
36e79bc4-18ce-4af9-a7fb-e77826c4b6d9,Pentagon,2016-10-01,PENTAGON,PENTAGON
38c8ced3-baf8-4138-a2fb-7be15e28d53e,Basquiat,2020-06-18,PENTAGON,PENTAGON
3faaee60-fb7f-4470-b829-bd4521e89061,1+1,2021-03-15,PENTAGON,PENTAGON
45b1f80e-e2f6-4d3a-b162-e806a99e3d6e,Worship U,2020-02-12,PENTAGON,PENTAGON
47da3ea4-54cd-433b-9a90-0b981d8cf1ff,Round 1,2019-03-27,PENTAGON,PENTAGON
48b136c9-959e-4ecd-bd07-5fcac6b5ffa6,Nostalgia,2020-10-12,PENTAGON,PENTAGON
4d4360b6-6536-4e6a-9aee-3a3f7c5aa467,Pretty Pretty (Japanese Ver.),2017-03-22,PENTAGON,PENTAGON
519e5a3b-2740-4bc8-93a8-92840cd7e725,UP!UP!UP!,2018-01-17,PENTAGON,PENTAGON
56805011-b906-414d-a0e3-a3ed02988446,Dear Friend,2019-02-13,PENTAGON,PENTAGON
57039d1b-abd6-441a-896e-4fb1e88000ff,Eternal Flame,2020-12-18,PENTAGON,PENTAGON
591dfaa4-c4b6-4a1f-b3f6-36418adab1ee,Daisy,2020-10-12,PENTAGON,PENTAGON
5afc31e2-a6c0-4540-a206-4e608eeb183e,Fantasystic,2019-07-17,PENTAGON,PENTAGON
60b07a09-315d-45fb-bd93-6609da93eee1,& You,2019-02-13,PENTAGON,PENTAGON
61818674-0344-40e6-8042-8d9804e422a3,"Someday (song by 진호, 후이)",2020-02-12,PENTAGON,PENTAGON
62288208-21c5-4981-803a-ee805a4b5681,HAPPINESS,2019-08-21,PENTAGON,PENTAGON
648ea833-2f21-425b-a85e-225bbd42f813,WAKE UP,2018-01-17,PENTAGON,PENTAGON
658bacf8-d075-4162-8f1b-faf0081ecea2,Love Is Pain,2023-09-08,PENTAGON,PENTAGON
66c74934-f44a-4ecc-bafd-cc024c0a579a,Gorilla,2016-10-01,PENTAGON,PENTAGON
675d07da-cd15-4f7f-9c7e-41abf5ddd791,Round 2,2019-07-17,PENTAGON,PENTAGON
6a822a84-f444-415c-9134-7017d146b31f,"""Bad""",2022-01-24,PENTAGON,PENTAGON
6ad1b39c-1001-4b13-a042-dee63000da57,RUNAWAY,2017-11-22,PENTAGON,PENTAGON
6d229235-dce2-405e-a7a6-aa7345dc2bb1,Nothing,2017-06-12,PENTAGON,PENTAGON
6dfc1af6-b294-4709-8fd3-0ba450cc5e5d,10초 전,2021-03-15,PENTAGON,PENTAGON
7023d6a5-5e8a-4911-a1be-faa1f4431d82,Nothing,2017-09-10,PENTAGON,PENTAGON
7159aa07-0e17-4aa3-ae1b-b2f62ca2b88e,DO or NOT,2021-03-15,PENTAGON,PENTAGON
71de197d-8527-4696-bec2-48059335c540,Special Christmas (inst.),2016-12-16,PENTAGON,PENTAGON
72d3713d-8331-4fe5-8e43-0efa51edca14,Smile,2016-10-10,PENTAGON,PENTAGON
781f5a78-98d8-4f75-b79a-c6f4b97edff4,Beautiful (Japanese ver.),2018-01-17,PENTAGON,PENTAGON
78357b32-52d5-4b7d-a94f-bd88a06a0eee,Lost Paradise (Hip Hop Unit),2019-03-27,PENTAGON,PENTAGON
7b0ddcd5-def1-45e4-8473-e2e60edfac17,OFF-ROAD,2018-04-02,PENTAGON,PENTAGON
7b9825e5-f281-4fcc-a2e6-ee79fad0378d,POPPIA (SAUDI ARABIA ver.),2022-09-30,PENTAGON,PENTAGON
7e2a5249-3ab3-4db7-aba3-b315c1599abe,COSMO,2019-02-13,PENTAGON,PENTAGON
801346fb-6e65-484d-aa67-4e34111d7acc,Sha La La,2019-03-27,PENTAGON,PENTAGON
818748b7-5d3e-4a7f-a99c-c1a9ef77f1dc,It's Over,2017-09-06,PENTAGON,PENTAGON
8229403d-b70b-4523-a5cb-797ba39c1241,I'm Here (진호 Solo),2020-10-12,PENTAGON,PENTAGON
823861a2-5b34-4e13-a837-55801a22ef5c,SKATEBOARD,2018-09-10,PENTAGON,PENTAGON
8269bcf0-28f1-4423-95da-ab55e786c0d2,POPPIA (SAUDI ARABIA instrumental ver.),2022-09-30,PENTAGON,PENTAGON
85a4235f-e251-4643-946a-44553b4f3247,OFF-ROAD (Japanese Ver.),2018-08-29,PENTAGON,PENTAGON
88bf1209-2822-4438-8eac-e95c4348c8e8,"""One Shot (한탕)""",2022-01-24,PENTAGON,PENTAGON
8dc26bc8-aa83-404a-b8f7-d38e0673bf53,TALK,2020-02-12,PENTAGON,PENTAGON
8e63ce5d-0e3d-4e6f-a137-c70d1de85b99,SHINE (Japanese Ver.),2018-08-29,PENTAGON,PENTAGON
90256e25-1154-4d7b-bc0f-3cff2add6434,Beautiful,2017-05-18,PENTAGON,PENTAGON
99efbd1a-ea2a-407a-a032-b147c04af47e,Pentagon,2016-10-10,PENTAGON,PENTAGON
9a688e44-087a-409c-aa85-dd7d8b86c8f9,Lucky,2017-09-10,PENTAGON,PENTAGON
a3787f75-abd3-485e-a61c-8ce17d90cb0e,Pretty Boys,2017-11-24,PENTAGON,PENTAGON
a59d9c5e-de2c-4a56-95b0-82364b3fd7d3,Spring Snow,2019-03-27,PENTAGON,PENTAGON
a672e0d9-f2c4-4d7e-ac4d-6164963e06b7,Violet (Japanese ver.),2018-01-17,PENTAGON,PENTAGON
aff4b753-4178-44e7-842b-9b7fcfa253b9,Like This,2017-09-06,PENTAGON,PENTAGON
b051bd4f-bbb0-4942-bd66-aaf0ab9b5add,Wake Up (intro),2016-10-01,PENTAGON,PENTAGON
b5f318c9-f790-4ccf-afcb-82c4b27aa358,"""Call My Name""",2022-01-24,PENTAGON,PENTAGON
b66952ff-0d1e-42b5-8c50-584616277bbd,"""Feelin' Like""",2022-01-24,PENTAGON,PENTAGON
c0a48df7-2526-4030-87f1-5f9818a944cf,Summer!,2019-07-17,PENTAGON,PENTAGON
c0d3178a-d9b0-4e01-8724-53566c2f2141,Die for You,2020-02-12,PENTAGON,PENTAGON
c1000d16-ee05-4ea0-852a-6eb59170578f,Alien,2019-03-27,PENTAGON,PENTAGON
c278beb2-c6f5-4cf7-afbe-1e447ebc8ba3,"""The Game""",2022-01-24,PENTAGON,PENTAGON
c515188e-3240-4ea4-a975-56368f78bdd8,Spring Snow (Japanese Version),2019-08-21,PENTAGON,PENTAGON
c73e86db-566a-4fbd-9b7a-f8b19007bbf0,I'm fine,2018-08-29,PENTAGON,PENTAGON
c93228e8-ff71-492e-ad93-5e7144fa24c6,"""Sparkling Night (관람차)""",2022-01-24,PENTAGON,PENTAGON
cc4c3b5f-3944-43ba-acba-0ffd6546d289,With UNIVERSE,2023-10-10,PENTAGON,PENTAGON
ce24bccd-be38-452c-9260-3d15a49be919,Like This,2017-08-09,PENTAGON,PENTAGON
d292b24d-507a-4a49-9269-f7d15279e29e,Violet (Japanese Ver) MV,2018-01-17,PENTAGON,PENTAGON
d2a19eb3-b243-4d7c-b61a-3a4988efb0b9,Special Christmas,2016-12-16,PENTAGON,PENTAGON
d318accc-42c5-419d-b230-f1133a322f96,Hey! Hey! Hey!,2018-08-29,PENTAGON,PENTAGON
d5a0b63a-52bb-474e-9831-30afe5c196d4,Very Good,2020-05-15,PENTAGON,PENTAGON
d6eae962-78b0-48ad-9522-8f9dcd3835c0,All Right,2017-11-22,PENTAGON,PENTAGON
da8060e1-c4da-49aa-a431-2e5230db092e,SUMMER!,2019-07-17,PENTAGON,PENTAGON
e1dad5d6-372b-4194-b4be-7a253cfe31d6,VIOLET,2017-11-22,PENTAGON,PENTAGON
e340fcdf-516e-46e6-9925-a5526181b385,Beautiful,2017-09-10,PENTAGON,PENTAGON
e56a78e3-095b-4801-80e9-d92b42aea2b1,Get Down,2017-03-22,PENTAGON,PENTAGON
e747d4d2-b43d-47f1-a357-ea19290ce592,Till… (Ballad Unit),2019-03-27,PENTAGON,PENTAGON
e7d1b172-9c15-4ba8-8904-877325d8352c,VIOLET,2017-11-24,PENTAGON,PENTAGON
ea10949e-8114-43ac-8266-997f729dca99,Runaway,2017-11-24,PENTAGON,PENTAGON
eae6f4fe-b290-434b-b7b0-a90a8d94aeb6,Engine,2016-12-07,PENTAGON,PENTAGON
eb499d0f-12c5-48d6-8201-0f1ec5748557,Burnin’ Love,2018-01-17,PENTAGON,PENTAGON
eb8b771a-1bde-4845-a590-3cbc938c83ae,Can you feel it (Japanese Ver.),2017-03-22,PENTAGON,PENTAGON
f1f52de9-3822-4799-91ff-2382d09635cc,Lucky,2017-06-12,PENTAGON,PENTAGON
f24b116f-5a78-4cc4-98f7-de86f243778d,Dr. 베베,2020-02-12,PENTAGON,PENTAGON
f2633bbd-032a-475a-b83f-ab7a7f768895,All Right,2017-11-24,PENTAGON,PENTAGON
f5112018-e077-432a-bf13-b8bd632d14db,That’s Me,2021-03-15,PENTAGON,PENTAGON
f93188ea-eaec-4831-8902-aa0d106c459d,SHA LA LA (Japanese ver.),2019-08-21,PENTAGON,PENTAGON
f9f53449-0063-4cf2-82d1-c84ab10e6287,Wake up (Intro),2016-10-10,PENTAGON,PENTAGON
ff7b020e-e545-4631-97dd-55d6cea62d26,Lost Paradise,2019-03-27,PENTAGON,PENTAGON
07fe6a59-17c4-4e3b-a428-b6d4e0f766fa,오늘까지만,2017-08-09,PENTAGON,PENTAGON
